OT,schedule_day
9,0
8,1
8,1
MRI,1
10,2
8,2
3,4
MRI,7
MRI,7
MRI,7
MRI,8
MRI,8
5,9
8,9
5,9
MRI,11
MRI,11
9,14
3,18
MRI,18
8,23
MRI,21
MRI,21
MRI,21
MRI,21
MRI,22
MRI,22
8,2
MRI,4
MRI,4
MRI,4
MRI,4
MRI,7
8,8
MRI,15
MRI,18
MRI,18
MRI,18
MRI,18
MRI,21
MRI,21
MRI,21
MRI,21
MRI,25
9,0
8,7
MRI,7
MRI,7
MRI,7
MRI,7
5,8
MRI,8
8,16
MRI,25
3,4
8,8
8,9
8,15
9,16
3,18
8,23
MRI,25
9,0
MRI,4
MRI,4
MRI,4
MRI,4
MRI,7
MRI,7
MRI,7
MRI,7
8,9
MRI,21
MRI,21
MRI,21
5,22
MRI,25
MRI,7
MRI,8
5,9
5,9
MRI,11
9,14
MRI,18
MRI,18
9,23
9,0
8,1
MRI,4
MRI,7
5,8
MRI,8
MRI,8
8,9
8,15
8,16
MRI,7
MRI,7
MRI,7
MRI,8
MRI,11
MRI,11
MRI,11
9,14
9,16
MRI,18
8,23
MRI,7
MRI,7
MRI,7
MRI,7
8,9
MRI,11
8,15
MRI,18
8,23
2,24
9,0
MRI,1
8,2
MRI,11
9,14
MRI,15
2,22
MRI,4
MRI,7
MRI,8
5,9
MRI,11
9,14
MRI,18
9,23
8,1
3,4
MRI,7
MRI,7
MRI,7
MRI,8
MRI,8
8,9
8,9
9,14
9,14
7,16
MRI,21
MRI,21
MRI,21
MRI,21
MRI,21
8,23
8,1
8,2
MRI,11
MRI,11
8,18
8,2
MRI,7
5,8
5,8
8,9
9,14
8,15
8,16
9,16
MRI,21
MRI,22
MRI,22
9,23
9,23
MRI,25
MRI,8
9,14
9,16
8,1
8,1
MRI,1
10,2
8,2
8,2
MRI,4
MRI,4
3,4
MRI,7
MRI,7
MRI,7
MRI,7
5,8
MRI,8
MRI,8
8,9
4,11
MRI,11
9,14
MRI,15
MRI,15
MRI,21
9,23
MRI,25
3,4
8,8
8,9
MRI,15
2,22
9,0
10,3
MRI,21
8,23
10,3
MRI,7
MRI,7
MRI,7
8,16
8,23
MRI,25
MRI,4
8,8
MRI,21
8,23
9,0
MRI,1
MRI,1
8,2
MRI,4
MRI,7
MRI,7
9,14
MRI,15
MRI,15
MRI,15
3,18
MRI,21
MRI,21
MRI,21
9,23
8,23
9,23
MRI,25
MRI,25
8,1
8,2
10,3
MRI,15
8,16
8,23
MRI,25
MRI,25
MRI,25
9,0
MRI,4
3,4
MRI,7
MRI,7
MRI,21
MRI,21
MRI,21
8,22
MRI,22
8,23
9,23
2,24
MRI,25
MRI,25
9,0
MRI,7
MRI,8
MRI,8
MRI,11
MRI,11
MRI,11
9,14
MRI,15
MRI,15
MRI,18
8,23
8,25
9,0
8,2
MRI,7
MRI,7
MRI,7
MRI,7
MRI,11
MRI,21
MRI,21
MRI,21
MRI,4
MRI,4
